warehouse_order_line_ID,warehouse_order_date,purchase_order_date,purchase_order_no,vendor,is_hazmat,selling_marketplace,selling_marketplace_client_SKU,selling_marketplace_product_title,selling_marketplace_ASIN,selling_marketplace_photo_link,selling_marketplace_bundle_count,purchase_bundle_count,purchase_order_quantity,purchase_order_quantity_single_units,total_sellable_units,total_warehouse_order_cost,sellable_unit_cost,notes_to_warehouse,,warehouse_order_receiving_status,received_single_units_quantity,received_single_units_damaged_quantity,awaiting_single_units,received_sellable_units_quantity,first_received_date,last_received_date,warehouse_notes,,PB_log,PB_unique,sell_bundle,FULL_sku,FULL_sell_bundle,FORMULA_HELPER
561_0000001,,1/7/2025,360222008,northline,,AU,40026,"Mosquito Summit Dunks for Insects (6 Dunks) (1, 30 Ounce)",B07G9M6QTP,https://www.amazon.com.au/Mosquito-Summit-Dunks-30-Ounce/dp/B07G9M6QTP/ref=sr_1_1?crid=1GJOOT8XJZODG&dib=eyJ2IjoiMSJ9.ECxqwFCR4HomUARytb6tYA.g3Q2S_-xCt7l5gOmA5CkGWtljDT3hHojNw4ExND4pqw&dib_tag=se&keywords=B07G9M6QTP&qid=1736121421&sprefix=b07g9m6qtp+%2Caps%2C495&sr=8-1,1,1,0,0,0,$0.00,,AU siparişi - CANCELLED,,complete,0,0,0,0,,12/30/1899,,,30608,30608,1,40026,1,
561_0000002,,1/7/2025,114-3561883-7528208,amazon-FBA,,UK,30690,"MOUTHWATCHERS Dr Plotkas Extra Soft Flossing Toothbrush Manual Soft Toothbrush for Adults, Ultra Clean Toothbrush, Good for Sensitive Teeth and Gums, Multicolor, 12 Pack",B00EVV29RG,https://www.amazon.com/dp/B00EVV29RG?smid=A3N8KBIUHJ91H8&ref_=chk_typ_imgToDp,1,1,30,30,30,$825.60,$27.52,,,complete,30,0,0,30,,1/15/2025,44561.25-01-15.825 sevkiyat gerceklesti.,,30052,30052,1,30690,1,
561_0000003,,1/7/2025,114-8147030-8097833,amazon.com,,UK,30194,Dude Products Dude Wipes Box of 30,B008LXBZF2,https://www.amazon.com/dp/B008LXBZF2?psc=1&smid=A2Q1LRYTXHYQ2K&ref_=chk_typ_imgToDp,1,1,100,100,100,$609.00,$6.09,,,complete,100,0,0,100,,1/16/2025,,,30052,30618,2,30194,1,
561_0000004,,1/7/2025,114-4045539-7793064,amazon-FBA,,UK,30593,"SINGER 9"" Pinking Shears - Zig Zag Scissors for Fabric White",B08N2PQP4X,https://www.amazon.com/dp/B08N2PQP4X,1,1,100,100,100,"$1,149.00",$11.49,,,partial,99,0,1,99,,1/16/2025,,,30618,30080,1,30593,1,
561_0000005,,1/8/2025,114-9076786-3048261,amazon.com,,CA,FBA880,"BARILLA Protein+ (Plus) Elbows Pasta, 14.5 Ounce - plant based pasta - Made from Lentils, Chickpeas & Peas - Non-GMO, Kosher Certified and Vegan",B00X800BNA,https://www.amazon.ca/dp/B00X800BNA,1,12,10,120,120,$322.52,$2.69,1/20/2025'te 48 gönderildi.Miss yok.,,complete,120,0,0,120,,1/16/2025,"48 zeki bey toplati, prep ve sev edilmis.",,30080,30670,1,FBA880,1,
561_0000006,,1/8/2025,114-8158092-5470663,amazon.com,,CA,FBA285,[6 PK] Dude Wipes Unscented - 6 PACK,B010NE2XPC,https://www.amazon.ca/dp/B010NE2XPC,6,6,60,360,60,$739.20,$12.32,FBA18SNGHMYC shipment'ında gitti.,,complete,360,0,0,60,,12/30/1899,FBA18SNGHMYC sevk edilmis,,30670,30737,1,FBA285,6,
561_0000007,,1/8/2025,114-7343211-4242659,amazon.com,,CA,FBA771,"Utz Potato Stix, 15 oz Canister",B008K81P08,https://www.amazon.ca/dp/B008K81P08,1,1,80,80,80,$357.60,$4.47,,,complete,80,0,0,80,,1/1/2025, ,,30618,30011,1,FBA771,1,
561_0000008,,1/8/2025,114-3407191-7818627,amazon.com,,CA,FBA830,"Jason Vitamin E Age Renewal Crme 25,000 IU, 113g",B0013G6M8O,https://www.amazon.ca/dp/B0013G6M8O,1,1,30,30,30,$240.54,$8.02,,,complete,30,0,0,30,,2/4/2025,,,30618,30625,1,FBA830,1,
561_0000009,,11/25/2024,114-8470257-8329012,shipfifty stock,,CA,FBA90107,Choco Musk Perfume Oil - 6mL roll-on,B019QJB0NQ,https://www.amazon.ca/dp/B019QJB0NQ,1,6,35,210,210,$727.30,$3.46,gated urunlerden - yeni listing,,complete,210,0,0,210,,1/21/2025,,,30618,30801,1,FBA90107,1,
561_0000010,,11/25/2024,114-8470257-8329012,shipfifty stock,,CA,FBA90114,Alrehab Choco Musk for Unisex Concentrated Perfume Rollerball 6 ml,B01G24GN94,https://www.amazon.ca/dp/B01G24GN94,1,6,5,30,30,$103.90,$3.46,3 yerine 6 refund yapıldı.,,complete,27,3,0,27,,1/21/2025,3 dmg onceden bildirilmisti.,,30608,30124,1,FBA90114,1,
